ID,Name,InChI,InChIKey,SMILES,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
A-3,"N,N,N-trimethyloctadecan-1-aminium bromide","InChI=1S/C21H46N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(2,3)4;/h5-21H2,1-4H3;1H/q+1;/p-1",SZEMGTQCPRNXEG-UHFFFAOYSA-M,[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.616127121,0,1,G1,392.51,3.9581,102.4454,23,0,0,2,17,142,0,0,0,0,0,158.5206006,0,210.3773341
A-4,Benzo[cd]indol-2(1H)-one,"InChI=1S/C11H7NO/c13-11-8-5-1-3-7-4-2-6-9(12-11)10(7)8/h1-6H,(H,12,13)",GPYLCFQEKPUWLD-UHFFFAOYSA-N,O=C1Nc2cccc3cccc1c23,-3.254767098,0,1,G1,169.183,2.4055,51.9012,13,1,1,2,0,62,2,0,1,3,29.1,75.1835629,2.582996394,511.2292477
A-5,4-chlorobenzaldehyde,InChI=1S/C7H5ClO/c8-7-3-1-6(5-9)2-4-7/h1-5H,AVPYQKSLYISFPO-UHFFFAOYSA-N,Clc1ccc(C=O)cc1,-2.177077944,0,1,G1,140.569,2.1525,36.8395,9,1,0,2,1,46,1,0,0,1,17.07,58.26113356,3.009781948,202.6610651
A-8,"zinc bis[2-hydroxy-3,5-bis(1-phenylethyl)benzoate]","InChI=1S/2C23H22O3.Zn/c2*1-15(17-9-5-3-6-10-17)19-13-20(22(24)21(14-19)23(25)26)16(2)18-11-7-4-8-12-18;/h2*3-16,24H,1-2H3,(H,25,26);/q;;+2/p-2",XTUPUYCJWKHGSW-UHFFFAOYSA-L,[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,-3.924409095,0,1,G1,756.226,8.1161,200.7106,53,6,2,7,10,264,6,0,0,6,120.72,323.7554337,2.32E-07,1964.648666
A-9,"4-({4-[bis(oxiran-2-ylmethyl)amino]phenyl}methyl)-N,N-bis(oxiran-2-ylmethyl)aniline","InChI=1S/C25H30N2O4/c1-5-20(26(10-22-14-28-22)11-23-15-29-23)6-2-18(1)9-19-3-7-21(8-4-19)27(12-24-16-30-24)13-25-17-31-25/h1-8,22-25H,9-17H2",FAUAZXVRLVIARB-UHFFFAOYSA-N,C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.662064583,0,1,G1,422.525,2.4854,119.076,31,6,0,6,12,164,2,4,4,6,56.6,183.1832685,1.084427317,769.8999341
A-10,vinyltoluene,"InChI=1S/C9H10/c1-3-9-6-4-5-8(2)7-9/h3-7H,1H2,2H3",JZHGRUMIRATHIU-UHFFFAOYSA-N,Cc1cccc(C=C)c1,-3.123150304,0,1,G1,118.179,2.63802,41.27,9,0,0,0,1,46,1,0,0,1,0,55.83662643,3.070760682,211.0332245
A-11,3-(3-ethylcyclopentyl)propanoic acid,"InChI=1S/C10H18O2/c1-2-8-3-4-9(7-8)5-6-10(11)12/h8-9H,2-7H2,1H3,(H,11,12)",WVRFSLWCFASCIS-UHFFFAOYSA-N,CCC1CCC(CCC(O)=O)C1,-3.286116314,0,1,G1,170.252,2.6775,47.9918,12,1,1,2,4,70,0,1,1,1,37.3,73.97365476,2.145839057,153.9175691
A-12,"11,16,17,21-tetrahydroxypregna-1,4-diene-3,20-dione","InChI=1S/C21H28O6/c1-19-6-5-12(23)7-11(19)3-4-13-14-8-16(25)21(27,17(26)10-22)20(14,2)9-15(24)18(13)19/h5-7,13-16,18,22,24-25,27H,3-4,8-10H2,1-2H3",SEKYBDYVXDAYPY-UHFFFAOYSA-N,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.664548539,0,1,G1,376.449,0.5284,96.4382,27,6,4,6,2,148,0,3,4,4,115.06,158.1355418,1.77697793,755.770792
A-14,bis(4-fluorophenyl)methanone,InChI=1S/C13H8F2O/c14-11-5-1-9(2-6-11)13(16)10-3-7-12(15)8-4-10/h1-8H,LSQARZALBDFYQZ-UHFFFAOYSA-N,Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652185,0.431512648,2,G3,218.202,3.1958,56.2325,16,1,0,3,2,80,2,0,0,2,17.07,91.34603235,2.315627695,452.9607328
A-15,1-[2-(benzoyloxy)propoxy]propan-2-yl benzoate 1-{[1-(benzoyloxy)propan-2-yl]oxy}propan-2-yl benzoate 2-{[1-(benzoyloxy)propan-2-yl]oxy}propyl benzoate,"InChI=1S/C20H22O5/c21-19(17-9-3-1-4-10-17)24-15-7-13-23-14-8-16-25-20(22)18-11-5-2-6-12-18/h1-6,9-12H,7-8,13-16H2",BYQDGAVOOHIJQS-UHFFFAOYSA-N,O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502564,0.118551282,2,G3,342.391,3.4972,93.502,25,5,0,5,10,132,2,0,0,2,61.83,147.0717141,1.44704964,582.1507933
A-17,4-(dimethylamino)benzaldehyde,"InChI=1S/C9H11NO/c1-10(2)9-5-3-8(7-11)4-6-9/h3-7H,1-2H3",BGNGWHSBYQYVRX-UHFFFAOYSA-N,CN(C)c1ccc(C=O)cc1,-2.28276885,0,1,G1,149.193,1.5651,46.1565,11,2,0,2,2,58,1,0,0,1,20.31,66.44758523,2.9098228,238.2445752
A-18,2-methyl-1-phenylpropan-2-yl acetate,"InChI=1S/C12H16O2/c1-10(13)14-12(2,3)9-11-7-5-4-6-8-11/h4-8H,9H2,1-3H3",FLUWAIIVLCVEKF-UHFFFAOYSA-N,CC(=O)OC(C)(C)Cc1ccccc1,-2.394649969,0,1,G1,192.258,2.5708,55.991,14,2,0,2,3,76,1,0,0,1,26.3,84.89612314,2.633870023,301.3575849
A-19,"2,3-dimethylphenol; 2,4-dimethylphenol; 2,5-dimethylphenol; 2,6-dimethylphenol; 3,4-dimethylphenol; 3,5-dimethylphenol","InChI=1S/6C8H10O/c1-6-3-7(2)5-8(9)4-6;1-6-3-4-8(9)5-7(6)2;1-6-3-4-8(9)7(2)5-6;1-6-3-4-7(2)8(9)5-6;1-6-4-3-5-8(9)7(6)2;1-6-4-3-5-7(2)8(6)9/h6*3-5,9H,1-2H3",YJZHZFOWHRKQHS-UHFFFAOYSA-N,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.980309796,0.155859056,4,G5,733.002,12.05424,225.4848,54,6,6,6,0,288,6,0,0,6,121.38,322.8907378,3.24E-07,1804.418547
A-21,2-(4-tert-butylphenoxymethyl)oxirane,"InChI=1S/C13H18O2/c1-13(2,3)10-4-6-11(7-5-10)14-8-12-9-15-12/h4-7,12H,8-9H2,1-3H3",HHRACYLRBOUBKM-UHFFFAOYSA-N,CC(C)(C)c1ccc(OCC2CO2)cc1,-3.43023888,0,1,G1,206.285,2.7617,60.377,15,2,0,2,3,82,1,1,1,2,21.76,91.20725723,1.961588002,317.384344
A-22,5-methoxy-1-[4-(trifluoromethyl)phenyl]pentan-1-one,"InChI=1S/C13H15F3O2/c1-18-9-3-2-4-12(17)10-5-7-11(8-6-10)13(14,15)16/h5-8H,2-4,9H2,1H3",VYKSRLDHXQURKA-UHFFFAOYSA-N,COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.544059701,0,1,G1,260.255,3.7048,61.5015,18,2,0,5,6,100,1,0,0,1,26.3,103.7576715,2.542670431,382.2179844
A-23,"(2E)-3,7-dimethylocta-2,6-dien-1-ol","InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",GLZPCOQZEFWAFX-YFHOEESVSA-N,CC(C)=CCC\C(C)=C/CO,-2.320601166,0.071632869,4,G5,154.253,2.6714,49.5078,11,1,1,1,4,64,0,0,0,0,20.23,69.43875775,3.544387431,150.2557124
A-24,2-(4-chloro-2-methylphenoxy)propanoic acid,"InChI=1S/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)",WNTGYJSOUMFZEP-UHFFFAOYSA-N,CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.466030786,0.060620877,4,G5,214.648,2.50032,53.9148,14,2,1,4,3,76,1,0,0,1,46.53,87.26373889,2.817664885,349.2203894
A-25,zinc bis[O-(2-ethylhexyl) O-isobutyl dithiophosphate],"InChI=1S/2C12H27O2PS2.Zn/c2*1-5-7-8-12(6-2)10-14-15(16,17)13-9-11(3)4;/h2*11-12H,5-10H2,1-4H3,(H,16,17);/q;;+2/p-2",FHIAIHDDIOVFSY-UHFFFAOYSA-L,[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.958195047,0,1,G1,660.282,9.3243,163.396,35,8,0,11,20,208,0,0,0,0,36.92,251.870078,-5.69E-07,523.6422056
A-26,1-chloro-3-(trifluoromethyl)benzene,"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",YTCGOUNVIAWCMG-UHFFFAOYSA-N,FC(F)(F)c1cccc(Cl)c1,-3.411513885,0,1,G1,180.556,3.3588,36.454,11,0,0,4,0,60,1,0,0,1,0,66.59621767,3.059901692,254.1077533
A-27,"oxiran-2-ylmethyl 2,2-dimethyloctanoate","InChI=1S/C13H24O3/c1-5-13(4,7-6-10(2)3)12(14)16-9-11-8-15-11/h10-11H,5-9H2,1-4H3",DHEHEJGXTUCSQF-UHFFFAOYSA-N,CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.513468741,0,1,G1,228.332,2.7809,63.169,16,3,0,3,7,94,0,1,1,1,38.83,98.50133781,2.374959576,233.3322057
A-28,2-methylheptyl 3-sulfanylpropanoate,"InChI=1S/C11H22O2S/c1-10(2)6-4-3-5-8-13-11(12)7-9-14/h10,14H,3-9H2,1-2H3",ZHUWXKIPGGZNJW-UHFFFAOYSA-N,CC(C)CCCCCOC(=O)CCS,-4.4543817,0,1,G1,218.362,3.0659,62.735,14,3,1,3,8,84,0,0,0,0,26.3,92.81880616,3.092076464,146.2229577
A-29,1-methyl-4-(propan-2-ylidene)cyclohex-1-ene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3",MOYAFQVGZZPNRA-UHFFFAOYSA-N,CC(C)=C1CCC(=CC1)C,-4.287342935,0.131230591,3,G5,136.238,3.453,45.982,10,0,0,0,0,56,0,0,1,1,0,63.63869284,2.668730432,178.2149912
A-30,aluminium(3+) ion sodium bis(oxosilanebis(olate)),InChI=1S/Al.Na.2O3Si/c;;2*1-4(2)3/q+3;+1;2*-2,URGAHOPLAPQHLN-UHFFFAOYSA-N,[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,-3.473139052,0,1,G1,202.138,-9.132,18.635,10,6,0,10,0,48,0,0,0,0,126.38,92.74620493,-3.00E-08,73.74860596
A-31,zinc(2+) ion bis(2-methylprop-2-enoate),"InChI=1S/C4H6O2.Zn/c1-3(2)4(5)6;/h1H2,2H3,(H,5,6);/q;+2/p-1",IQODPIFSDKREOZ-UHFFFAOYSA-M,[Zn++].CC(=C)C([O-])=O,-2.363208098,0,1,G1,150.472,-0.6901,19.821,7,2,0,3,1,34,0,0,0,0,40.13,54.98355823,0,75.69058447
A-32,3-[2-(ethylamino)-1-hydroxyethyl]phenol,"InChI=1S/C10H15NO2/c1-2-11-7-10(13)8-4-3-5-9(12)6-8/h3-6,10-13H,2,7H2,1H3",SQVIAVUSQAWMKL-UHFFFAOYSA-N,CCNCC(O)c1cccc(O)c1,-3.45410264,0,1,G1,181.235,1.0351,51.6103,13,3,3,3,4,72,1,0,0,1,52.49,78.02950127,2.597150821,262.8565878
A-33,"Phosphorodithioic acid, mixed O,O-bis(sec-Bu and 1,3-dimethylbutyl) esters, zinc salts","InChI=1S/2C10H23O2PS2.Zn/c2*1-6-9(4)11-13(14,15)12-10(5)7-8(2)3;/h2*8-10H,6-7H2,1-5H3,(H,14,15);/q;;+2/p-2",PWMSQVOBEKFBRF-UHFFFAOYSA-L,[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,-2.990876868,0,1,G1,604.174,8.0457,144.98,31,8,0,11,14,184,0,0,0,0,36.92,226.4103096,-4.90E-07,495.3092237
A-34,"2,4-dichloro-1-(chloromethyl)benzene","InChI=1S/C7H5Cl3/c8-4-5-1-2-6(9)3-7(5)10/h1-3H,4H2",IRSVDHPYXFLLDS-UHFFFAOYSA-N,ClCc1ccc(Cl)cc1Cl,-3.512942193,0,1,G1,195.476,3.7322,46.019,10,0,0,3,1,54,1,0,0,1,0,74.70614391,3.069982715,232.2928705
A-36,"(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",WTARULDDTDQWMU-UHFFFAOYSA-N,CC1(C)C2CCC(=C)C1C2,-4.292313455,1.247787366,3,G4,136.238,2.9987,43.752,10,0,0,0,0,56,0,3,3,3,0,63.32246472,2.231080813,174.4773318
A-38,"9-Octadecenoic acid (Z)-, reaction products with 2-[(2-aminoethyl)amino]ethanol","InChI=1S/C18H34O2.C4H12N2O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;5-1-2-6-3-4-7/h9-10H,2-8,11-17H2,1H3,(H,19,20);6-7H,1-5H2/b10-9-;",YGJDXOJIYODGEO-KVVVOXFISA-N,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.809134189,0.286266072,3,G5,386.621,4.6355,116.0977,27,4,4,5,19,162,0,0,0,0,95.58,167.359006,0,305.9330152
A-39,dodecyl 2-hydroxypropanoate,"InChI=1S/C15H30O3/c1-3-4-5-6-7-8-9-10-11-12-13-18-15(17)14(2)16/h14,16H,3-13H2,1-2H3",QQQMUBLXDAFBRH-UHFFFAOYSA-N,CCCCCCCCCCCCOC(=O)C(C)O,-4.63414462,0.106537413,2,G3,258.402,3.8313,74.4838,18,3,1,3,12,108,0,0,0,0,46.53,111.9177417,3.053119778,190.1777353
A-45,hydroxylamine,"InChI=1S/H3NO/c1-2/h2H,1H2",AVXURJPOCDRRFD-UHFFFAOYSA-N,NO,-0.763033718,0.861298,7,G4,33.03,-0.6657,5.9739,2,2,2,2,0,14,0,0,0,0,46.25,12.46247186,1,2
A-47,2-phenoxyethyl prop-2-enoate,"InChI=1S/C11H12O3/c1-2-11(12)14-9-8-13-10-6-4-3-5-7-10/h2-7H,1,8-9H2",RZVINYQDSSQUKO-UHFFFAOYSA-N,C=CC(=O)OCCOc1ccccc1,-2.563625713,0.227965978,2,G3,192.214,1.7946,53.093,14,3,0,3,5,74,1,0,0,1,35.53,82.95512322,2.162143259,292.6607706
A-48,benzyl-tributylazanium; 4-hydroxynaphthalene-1-sulfonate,"InChI=1S/C19H34N.C10H8O4S/c1-4-7-15-20(16-8-5-2,17-9-6-3)18-19-13-11-10-12-14-19;11-9-5-6-10(15(12,13)14)8-4-2-1-3-7(8)9/h10-14H,4-9,15-18H2,1-3H3;1-6,11H,(H,12,13,14)/q+1;/p-1",XVJXBJTXFXPQAN-UHFFFAOYSA-M,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.641819273,0,1,G1,499.717,6.8532,143.3074,35,4,1,6,12,192,3,0,0,3,77.43,211.3129154,2.56E-07,1108.112314
A-49,undec-10-enoic acid,"InChI=1S/C11H20O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2H,1,3-10H2,(H,12,13)",FRPZMMHWLSIFAZ-UHFFFAOYSA-N,OC(=O)CCCCCCCCC=C,-3.552826145,0.115494384,3,G5,184.279,3.3778,54.7688,13,1,1,2,9,76,0,0,0,0,37.3,80.65482499,2.909286733,141.0257051
A-50,"carboxymethyldimethyl-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulphonyl]amino]propylammonium hydroxide","InChI=1S/C15H19F13N2O4S/c1-30(2,8-9(31)32)6-3-5-29-35(33,34)7-4-10(16,17)11(18,19)12(20,21)13(22,23)14(24,25)15(26,27)28/h29H,3-8H2,1-2H3",OKOCIUJVPQKDLL-UHFFFAOYSA-N,C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.057185148,0,1,G1,570.368,2.2511,88.6629,35,4,1,20,14,210,0,0,0,0,86.3,189.2366,5.464762893,857.4056777
A-51,2-benzyl-2-(dimethylamino)-1-[4-(morpholin-4-yl)phenyl]butan-1-one,"InChI=1S/C23H30N2O2/c1-4-23(24(2)3,18-19-8-6-5-7-9-19)22(26)20-10-12-21(13-11-20)25-14-16-27-17-15-25/h5-13H,4,14-18H2,1-3H3",UHFFVFAKEGKNAQ-UHFFFAOYSA-N,CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,-4.793227892,0,1,G1,366.505,3.659,110.6595,27,4,0,4,7,144,2,1,1,3,32.78,162.2917641,1.847540691,736.733482
A-53,"4-(4,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptyl)phenol; 4-(7-methyloctyl)phenol","InChI=1S/C15H24O/c1-13(2)7-5-3-4-6-8-14-9-11-15(16)12-10-14/h9-13,16H,3-8H2,1-2H3",JSFITYFUKSFPBZ-UHFFFAOYSA-N,CC(C)CCCCCCc1ccc(O)cc1,-4.587250025,0,1,G1,220.356,4.5412,69.7338,16,1,1,1,7,90,1,0,0,1,20.23,99.5101159,2.048582564,273.991355
A-54,"1,3-bis(prop-1-en-2-yl)benzene","InChI=1S/C12H14/c1-9(2)11-6-5-7-12(8-11)10(3)4/h5-8H,1,3H2,2,4H3",IBVPVTPPYGGAEL-UHFFFAOYSA-N,CC(=C)c1cccc(c1)C(C)=C,-4.451139225,0,1,G1,158.244,3.7528,55.858,12,0,0,0,2,62,1,0,0,1,0,74.24184974,3.121805775,289.3151247
A-55,molybdenum,InChI=1S/Mo,ZOKXTWBITQBERF-UHFFFAOYSA-N,[Mo],-4.203848464,0,1,G1,95.94,-0.0025,0,1,0,0,1,0,6,0,0,0,0,0,21.75656585,0,0
A-56,"ethenyl 2,2-dimethyloctanoate","InChI=1S/C12H22O2/c1-5-14-11(13)9-7-6-8-10-12(2,3)4/h5H,1,6-10H2,2-4H3",TVFJAZCVMOXQRK-UHFFFAOYSA-N,CC(C)(C)CCCCCC(=O)OC=C,-4.581332511,0,1,G1,198.306,3.6697,58.829,14,2,0,2,6,82,0,0,0,0,26.3,87.33907858,3.297215111,177.2509757
A-58,1-tert-butyl-4-methylbenzene,"InChI=1S/C11H16/c1-9-5-7-10(8-6-9)11(2,3)4/h5-8H,1-4H3",QCWXDVFBZVHKLV-UHFFFAOYSA-N,Cc1ccc(cc1)C(C)(C)C,-4.472021768,0.048455006,2,G3,148.249,3.29252,49.879,11,0,0,0,0,60,1,0,0,1,0,69.25611369,2.993754788,223.2103774
A-61,cyclohexanecarboxylic acid,"InChI=1S/C7H12O2/c8-7(9)6-4-2-1-3-5-6/h6H,1-5H2,(H,8,9)",NZNMSOFKMUBTKW-UHFFFAOYSA-N,OC(=O)C1CCCCC1,-1.445031941,0.18248403,2,G3,128.171,1.6513,34.2108,9,1,1,2,1,52,0,1,1,1,37.3,54.87882841,2.312191534,103.4837784
A-62,"pentasodium 5-{[4-chloro-6-({3-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}-3-[(E)-2-(1,5-disulfonatonaphthalen-2-yl)diazen-1-yl]-4-hydroxynaphthalene-2,7-disulfonate","InChI=1S/C31H24ClN7O19S6.5Na/c32-29-35-30(33-16-3-1-4-17(13-16)59(41,42)10-9-58-64(55,56)57)37-31(36-29)34-22-14-18(60(43,44)45)11-15-12-24(62(49,50)51)26(27(40)25(15)22)39-38-21-8-7-19-20(28(21)63(52,53)54)5-2-6-23(19)61(46,47)48;;;;;/h1-8,11-14,38H,9-10H2,(H,43,44,45)(H,46,47,48)(H,49,50,51)(H,52,53,54)(H,55,56,57)(H2,33,34,35,36,37);;;;;/q;5*+1/p-5/b39-26+;;;;;",NVNQRAOQGCJYDU-QUSWNXLDSA-I,[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1,-0.410897736,0,1,G1,1136.328,-14.3013,212.8884,69,26,3,38,15,340,5,0,1,6,433.56,507.5754717,4.76E-06,3615.453397
A-63,"N,N'-bis(3-phenylprop-2-en-1-ylidene)hexane-1,6-diamine","InChI=1S/C24H28N2/c1(9-19-25-21-11-17-23-13-5-3-6-14-23)2-10-20-26-22-12-18-24-15-7-4-8-16-24/h3-8,11-18,21-22H,1-2,9-10,19-20H2/b17-11+,18-12+,25-21?,26-22?",ATPFMBHTMKBVLS-NCDJPSHJSA-N,C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,-3.893739071,0,1,G1,344.502,6.1152,116.138,26,2,0,2,11,134,2,0,0,2,24.72,157.2792416,1.442324565,634.0052066
A-65,"2-(benzotriazol-2-yl)-6-[[3-(benzotriazol-2-yl)-2-hydroxy-5-(2,4,4-trimethylpentan-2-yl)phenyl]methyl]-4-(2,4,4-trimethylpentan-2-yl)phenol","InChI=1S/C41H50N6O2/c1-38(2,3)24-40(7,8)28-20-26(36(48)34(22-28)46-42-30-15-11-12-16-31(30)43-46)19-27-21-29(41(9,10)25-39(4,5)6)23-35(37(27)49)47-44-32-17-13-14-18-33(32)45-47/h11-18,20-23,48-49H,19,24-25H2,1-10H3",FQUNFJULCYSSOP-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-7.973715535,1.85592384,3,G4,658.891,9.584,198.0616,49,8,2,8,8,256,6,0,0,6,101.88,289.3491683,1.55269118,1937.716888
A-68,[2-({4-[(E)-2-(2-chloro-4-nitrophenyl)diazen-1-yl]phenyl}(ethyl)amino)ethyl]trimethylazanium chloride,"InChI=1S/C19H25ClN5O2.ClH/c1-5-23(12-13-25(2,3)4)16-8-6-15(7-9-16)21-22-19-11-10-17(24(26)27)14-18(19)20;/h6-11,14H,5,12-13H2,1-4H3;1H/q+1;/p-1",ZFRUNHQZTYGGDY-UHFFFAOYSA-M,[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,-3.038699623,0,1,G1,426.348,2.2001,109.5108,28,5,0,9,8,152,2,0,0,2,71.1,176.328844,3.92E-06,820.0639649
A-69,"2-(morpholin-4-ylsulfanyl)-1,3-benzothiazole","InChI=1S/C11H12N2OS2/c1-2-4-10-9(3-1)12-11(15-10)16-13-5-7-14-8-6-13/h1-4H,5-8H2",MHKLKWCYGIBEQF-UHFFFAOYSA-N,C1CN(CCO1)Sc2sc3ccccc3n2,-3.810962795,0,1,G1,252.364,2.6356,67.869,16,5,0,5,2,84,2,1,1,3,25.36,102.5588826,1.777897117,446.5442277
A-70,"(1R-(1alpha,2beta,4beta,6alpha))-2,2,7-Trimethyl-3-oxatricyclo(4.1.1.02,4)octane","InChI=1S/C10H16O/c1-9(2)6-4-7(9)10(3)8(5-6)11-10/h6-8H,4-5H2,1-3H3/t6-,7-,8+,10-/m1/s1",NQFUSWIGRKFAHK-BDNRQGISSA-N,CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.593688492,0,1,G1,152.237,2.2099,43.273,11,1,0,1,0,62,0,4,4,4,12.53,68.11978183,1.980315256,216.1577794
A-71,"tetrasodium 7-[(E)-2-[2-(carbamoylamino)-4-{[4-chloro-6-({3-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}phenyl]diazen-1-yl]naphthalene-1,3,6-trisulfonate","InChI=1S/C28H24ClN9O16S5.4Na/c29-25-34-27(31-15-2-1-3-17(10-15)55(40,41)7-6-54-59(51,52)53)36-28(35-25)32-16-4-5-20(21(11-16)33-26(30)39)37-38-22-13-19-14(9-24(22)58(48,49)50)8-18(56(42,43)44)12-23(19)57(45,46)47;;;;/h1-5,8-13H,6-7H2,(H3,30,33,39)(H,42,43,44)(H,45,46,47)(H,48,49,50)(H,51,52,53)(H2,31,32,34,35,36);;;;/q;4*+1/p-4",UIEBGVDTKLYGTN-UHFFFAOYSA-J,[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,-0.426136485,0,1,G1,1026.263,-9.9498,197.2081,63,23,4,35,15,314,5,0,0,5,414.74,451.055254,4.96E-06,3157.93203
